6239 = number of voxels
9 = number of ROIs
X-MNI,Y-MNI,Z-MNI,Lobe,Structure,Brodmann area,ROI-number [1...9] (if zero then not included in any ROI)
-40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
-35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
-30,-5,-45,Limbic Lobe,Inferior Temporal Gyrus,Brodmann area 20,0
-30,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-30,10,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,9
-25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,9
25,0,-45,Limbic Lobe,Uncus,Brodmann area 20,9
25,5,-45,Limbic Lobe,Uncus,Brodmann area 38,9
25,10,-45,Temporal Lobe,*,Brodmann area 38,3
30,-5,-45,Limbic Lobe,Uncus,Brodmann area 20,9
30,0,-45,Limbic Lobe,Uncus,Brodmann area 20,9
35,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
35,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
35,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
35,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
35,15,-45,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,-5,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,0,-45,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
40,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
40,10,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
45,5,-45,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
-55,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-50,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,0,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-45,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-45,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,-5,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
-40,0,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,5,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 38,3
-40,10,-40,Temporal Lobe,Middle Temporal Gyrus,Brodmann area 21,3
-40,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,9
-35,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-35,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-30,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,9
-30,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,9
-30,0,-40,Limbic Lobe,Uncus,Brodmann area 20,9
-30,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,-5,-40,Limbic Lobe,Uncus,Brodmann area 36,9
-25,0,-40,Limbic Lobe,Uncus,Brodmann area 20,9
-25,5,-40,Limbic Lobe,Uncus,Brodmann area 38,9
-25,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-25,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
-20,0,-40,Limbic Lobe,Uncus,Brodmann area 36,9
-20,5,-40,Limbic Lobe,Uncus,Brodmann area 38,9
20,5,-40,Limbic Lobe,Uncus,Brodmann area 38,9
20,10,-40,Limbic Lobe,Uncus,Brodmann area 38,9
25,-5,-40,Limbic Lobe,Uncus,Brodmann area 36,9
25,0,-40,Limbic Lobe,Uncus,Brodmann area 36,9
25,5,-40,Limbic Lobe,Uncus,Brodmann area 38,9
25,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
25,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,9
30,0,-40,Limbic Lobe,Uncus,Brodmann area 20,9
30,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
30,20,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,-10,-40,Limbic Lobe,Uncus,Brodmann area 20,9
35,-5,-40,Limbic Lobe,Uncus,Brodmann area 20,9
35,10,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,15,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
35,20,-40,Temporal Lobe,Superior Temporal Gyrus,Brodmann area 38,3
40,-10,-40,Temporal Lobe,Inferior Temporal Gyrus,Brodmann area 20,3
